,cbsa_name,cbsa_code,inflow2011_12,outflow2011_12,net_flow2011_12,inflow2012_13,outflow2012_13,net_flow2012_13,inflow2013_14,outflow2013_14,net_flow2013_14,inflow2014_15,outflow2014_15,net_flow2014_15,in_rank2011_12,ou_rank2011_12,in_rank2012_13,ou_rank2012_13,in_rank2013_14,ou_rank2013_14,in_rank2014_15,ou_rank2014_15,tot_inflow,tot_outflow,tot_net_flow,net_change12_13,net_change13_14,net_change14_15
57,"College Station-Bryan, TX",17780,20,16,4,19,0,19,0,0,0,0,0,0,159.0,181.0,170.0,194.0,130.0,135.0,118.0,125.0,39,16,23,15,-19,0
58,"Colorado Springs, CO",17820,181,425,-244,279,408,-129,116,252,-136,67,227,-160,100.0,86.0,87.0,97.0,91.0,85.0,95.0,76.0,643,1312,-669,115,-7,-24
59,"Columbia, MO",17860,33,18,15,37,15,22,0,0,0,0,0,0,149.0,179.0,155.0,189.0,130.0,135.0,118.0,125.0,70,33,37,7,-22,0
60,"Columbia, SC",17900,350,515,-165,300,587,-287,141,130,11,82,113,-31,78.0,77.0,83.0,77.0,88.0,106.0,86.0,96.0,873,1345,-472,-122,298,-42
61,"Columbus, GA-AL",17980,97,107,-10,85,263,-178,0,52,-52,0,26,-26,119.0,131.0,127.0,109.0,130.0,122.0,118.0,123.0,182,448,-266,-168,126,26
62,"Columbus, OH",18140,1034,1299,-265,1035,1440,-405,843,1085,-242,577,969,-392,40.0,47.0,37.0,46.0,36.0,46.0,35.0,40.0,3489,4793,-1304,-140,163,-150
63,"Concord, NH",18180,39,58,-19,66,45,21,0,0,0,0,0,0,144.0,150.0,137.0,164.0,130.0,135.0,118.0,125.0,105,103,2,40,-21,0
64,"Corning, NY",18500,13,19,-6,0,0,0,0,0,0,0,0,0,166.0,178.0,179.0,194.0,130.0,135.0,118.0,125.0,13,19,-6,6,0,0
65,"Corpus Christi, TX",18580,13,11,2,0,12,-12,0,0,0,0,0,0,166.0,186.0,179.0,191.0,130.0,135.0,118.0,125.0,13,23,-10,-14,12,0
66,"Crestview-Fort Walton Beach-Destin, FL",18880,47,74,-27,25,62,-37,0,0,0,0,0,0,137.0,142.0,164.0,150.0,130.0,135.0,118.0,125.0,72,136,-64,-10,37,0
67,"Dallas-Fort Worth-Arlington, TX",19100,3000,5433,-2433,3229,5798,-2569,1878,5166,-3288,1557,3688,-2131,15.0,14.0,14.0,17.0,22.0,16.0,20.0,16.0,9664,20085,-10421,-136,-719,1157
68,"Davenport-Moline-Rock Island, IA-IL",19340,0,22,-22,0,0,0,0,0,0,0,0,0,169.0,175.0,179.0,194.0,130.0,135.0,118.0,125.0,0,22,-22,22,0,0
69,"Dayton, OH",19380,98,78,20,59,103,-44,0,0,0,0,0,0,118.0,138.0,142.0,133.0,130.0,135.0,118.0,125.0,157,181,-24,-64,44,0
70,"Deltona-Daytona Beach-Ormond Beach, FL",19660,865,1748,-883,843,2004,-1161,473,1410,-937,251,1015,-764,45.0,37.0,46.0,37.0,47.0,38.0,57.0,39.0,2432,6177,-3745,-278,224,173
71,"Denver-Aurora-Lakewood, CO",19740,779,1424,-645,767,1434,-667,462,1290,-828,328,950,-622,51.0,42.0,49.0,47.0,48.0,42.0,49.0,41.0,2336,5098,-2762,-22,-161,206
72,"Des Moines-West Des Moines, IA",19780,70,73,-3,41,66,-25,0,0,0,0,0,0,128.0,143.0,153.0,148.0,130.0,135.0,118.0,125.0,111,139,-28,-22,25,0
73,"Detroit-Warren-Dearborn, MI",19820,1469,2157,-688,1536,1692,-156,778,1028,-250,717,853,-136,29.0,30.0,29.0,39.0,37.0,48.0,33.0,44.0,4500,5730,-1230,532,-94,114
74,"Dover, DE",20100,172,434,-262,135,557,-422,40,128,-88,33,220,-187,103.0,85.0,110.0,79.0,120.0,107.0,107.0,77.0,380,1339,-959,-160,334,-99
75,"Dunn, NC",20380,0,29,-29,0,31,-31,0,0,0,0,0,0,169.0,168.0,179.0,176.0,130.0,135.0,118.0,125.0,0,60,-60,-2,31,0
76,"Durham-Chapel Hill, NC",20500,658,1232,-574,590,1060,-470,348,700,-352,341,639,-298,56.0,50.0,58.0,54.0,60.0,58.0,48.0,51.0,1937,3631,-1694,104,118,54
77,"East Stroudsburg, PA",20700,2437,3086,-649,2377,3362,-985,2177,3485,-1308,1577,2707,-1130,19.0,24.0,20.0,23.0,17.0,20.0,19.0,20.0,8568,12640,-4072,-336,-323,178
78,"Edwards, CO",20780,31,20,11,10,15,-5,0,0,0,0,0,0,150.0,177.0,178.0,189.0,130.0,135.0,118.0,125.0,41,35,6,-16,5,0
79,"El Paso, TX",21340,206,318,-112,245,265,-20,84,208,-124,58,98,-40,96.0,101.0,91.0,107.0,102.0,95.0,99.0,100.0,593,889,-296,92,-104,84
80,"Elmira, NY",21300,24,52,-28,15,80,-65,0,0,0,0,0,0,155.0,154.0,174.0,140.0,130.0,135.0,118.0,125.0,39,132,-93,-37,65,0
81,"Enterprise, AL",21460,0,15,-15,0,28,-28,0,0,0,0,0,0,169.0,182.0,179.0,179.0,130.0,135.0,118.0,125.0,0,43,-43,-13,28,0
82,"Erie, PA",21500,33,76,-43,20,53,-33,34,0,34,0,0,0,149.0,140.0,169.0,156.0,123.0,135.0,118.0,125.0,87,129,-42,10,67,-34
83,"Eugene, OR",21660,43,38,5,42,61,-19,0,0,0,22,0,22,141.0,163.0,152.0,151.0,130.0,135.0,116.0,125.0,107,99,8,-24,19,22
84,"Fairbanks, AK",21820,20,18,2,0,18,-18,0,0,0,0,0,0,159.0,179.0,179.0,186.0,130.0,135.0,118.0,125.0,20,36,-16,-20,18,0
85,"Fargo, ND-MN",22020,0,19,-19,0,0,0,0,0,0,0,0,0,169.0,178.0,179.0,194.0,130.0,135.0,118.0,125.0,0,19,-19,19,0,0
86,"Fayetteville, NC",22180,407,814,-407,446,868,-422,255,555,-300,232,336,-104,73.0,62.0,67.0,62.0,66.0,67.0,58.0,69.0,1340,2573,-1233,-15,122,196
87,"Fayetteville-Springdale-Rogers, AR-MO",22220,45,154,-109,75,38,37,0,0,0,0,0,0,139.0,121.0,130.0,169.0,130.0,135.0,118.0,125.0,120,192,-72,146,-37,0
88,"Flint, MI",22420,0,0,0,15,50,-35,0,0,0,0,0,0,169.0,187.0,174.0,159.0,130.0,135.0,118.0,125.0,15,50,-35,-35,35,0
89,"Florence, SC",22500,25,60,-35,20,87,-67,0,0,0,0,0,0,154.0,149.0,169.0,137.0,130.0,135.0,118.0,125.0,45,147,-102,-32,67,0
90,"Fort Collins, CO",22660,42,36,6,47,29,18,0,0,0,0,0,0,142.0,165.0,148.0,178.0,130.0,135.0,118.0,125.0,89,65,24,12,-18,0
91,"Fort Leonard Wood, MO",22780,0,25,-25,0,17,-17,0,0,0,0,0,0,169.0,172.0,179.0,187.0,130.0,135.0,118.0,125.0,0,42,-42,8,17,0
92,"Fort Polk South, LA",22860,0,0,0,0,19,-19,0,0,0,0,0,0,169.0,187.0,179.0,185.0,130.0,135.0,118.0,125.0,0,19,-19,-19,19,0
93,"Fort Wayne, IN",23060,35,0,35,0,59,-59,0,0,0,0,0,0,148.0,187.0,179.0,153.0,130.0,135.0,118.0,125.0,35,59,-24,-94,59,0
94,"Fresno, CA",23420,37,208,-171,70,106,-36,0,43,-43,28,51,-23,146.0,114.0,133.0,132.0,130.0,125.0,112.0,110.0,135,408,-273,135,-7,20
95,"Gainesville, FL",23540,163,160,3,221,174,47,85,83,2,76,40,36,105.0,120.0,96.0,118.0,101.0,114.0,89.0,114.0,545,457,88,44,-45,34
96,"Gainesville, GA",23580,0,24,-24,0,23,-23,0,0,0,0,0,0,169.0,173.0,179.0,184.0,130.0,135.0,118.0,125.0,0,47,-47,1,23,0
97,"Georgetown, SC",23860,0,44,-44,0,52,-52,0,0,0,0,0,0,169.0,158.0,179.0,157.0,130.0,135.0,118.0,125.0,0,96,-96,-8,52,0
98,"Gettysburg, PA",23900,0,24,-24,0,0,0,0,0,0,0,0,0,169.0,173.0,179.0,194.0,130.0,135.0,118.0,125.0,0,24,-24,24,0,0
99,"Glens Falls, NY",24020,70,178,-108,64,198,-134,0,0,0,0,0,0,128.0,117.0,138.0,114.0,130.0,135.0,118.0,125.0,134,376,-242,-26,134,0
100,"Glenwood Springs, CO",24060,21,21,0,16,19,-3,0,0,0,0,0,0,158.0,176.0,173.0,185.0,130.0,135.0,118.0,125.0,37,40,-3,-3,3,0
101,"Gloversville, NY",24100,0,19,-19,0,31,-31,0,0,0,0,0,0,169.0,178.0,179.0,176.0,130.0,135.0,118.0,125.0,0,50,-50,-12,31,0
102,"Goldsboro, NC",24140,0,17,-17,0,32,-32,0,0,0,0,0,0,169.0,180.0,179.0,175.0,130.0,135.0,118.0,125.0,0,49,-49,-15,32,0
103,"Grand Island, NE",24260,0,0,0,13,0,13,0,0,0,0,0,0,169.0,187.0,176.0,194.0,130.0,135.0,118.0,125.0,13,0,13,13,-13,0
104,"Grand Rapids-Wyoming, MI",24340,88,177,-89,64,158,-94,86,87,-1,30,0,30,121.0,118.0,138.0,121.0,100.0,113.0,110.0,125.0,268,422,-154,-5,93,31
105,"Greenfield Town, MA",24640,53,35,18,28,24,4,0,0,0,0,0,0,133.0,166.0,161.0,183.0,130.0,135.0,118.0,125.0,81,59,22,-14,-4,0
106,"Greensboro-High Point, NC",24660,426,904,-478,393,964,-571,353,614,-261,163,441,-278,67.0,61.0,74.0,60.0,58.0,62.0,71.0,58.0,1335,2923,-1588,-93,310,-17
107,"Greenville, NC",24780,27,136,-109,45,127,-82,0,0,0,0,0,0,153.0,127.0,150.0,126.0,130.0,135.0,118.0,125.0,72,263,-191,27,82,0
