CBSA,NAME,LSAD,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,NPOPCHG2010,NPOPCHG2011,NPOPCHG2012,NPOPCHG2013,NPOPCHG2014,NPOPCHG2015,NPOPCHG2016,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,BIRTHS2014,BIRTHS2015,BIRTHS2016,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,DEATHS2014,DEATHS2015,DEATHS2016,NATURALINC2010,NATURALINC2011,NATURALINC2012,NATURALINC2013,NATURALINC2014,NATURALINC2015,NATURALINC2016,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,INTERNATIONALMIG2014,INTERNATIONALMIG2015,INTERNATIONALMIG2016,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,DOMESTICMIG2014,DOMESTICMIG2015,DOMESTICMIG2016,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,NETMIG2014,NETMIG2015,NETMIG2016,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,RESIDUAL2014,RESIDUAL2015,RESIDUAL2016
32460,"Mayfield, KY",Micropolitan Statistical Area,37121,37121,37223,37542,37535,37352,37577,37251,37182,102,319,-7,-183,225,-326,-69,133,533,497,489,501,487,485,89,434,459,472,433,436,411,44,99,38,17,68,51,74,17,62,38,21,23,27,26,43,174,-87,-214,138,-413,-139,60,236,-49,-193,161,-386,-113,-2,-16,4,-7,-4,9,-30
32500,"Maysville, KY",Micropolitan Statistical Area,17490,17490,17500,17536,17458,17298,17122,17077,17190,10,36,-78,-160,-176,-45,113,49,222,199,240,208,195,197,32,205,171,227,222,214,192,17,17,28,13,-14,-19,5,1,0,0,0,0,0,0,-6,16,-109,-156,-181,-24,121,-5,16,-109,-156,-181,-24,121,-2,3,3,-17,19,-2,-13
32540,"McAlester, OK",Micropolitan Statistical Area,45837,45837,45763,45650,45111,44828,44576,44528,44173,-74,-113,-539,-283,-252,-48,-355,121,523,538,551,546,544,528,157,603,597,600,633,587,574,-36,-80,-59,-49,-87,-43,-46,4,10,-2,0,2,2,2,-33,-7,-432,-198,-201,-22,-316,-29,3,-434,-198,-199,-20,-314,-9,-36,-46,-36,34,15,5
32580,"McAllen-Edinburg-Mission, TX",Metropolitan Statistical Area,774769,774770,779150,794682,806388,817039,829088,839314,849843,4380,15532,11706,10651,12049,10226,10529,3770,16375,16133,16308,16172,16118,16144,906,3559,3697,3843,4073,4187,4395,2864,12816,12436,12465,12099,11931,11749,183,1421,831,1258,1788,2006,2061,1289,1345,-1532,-3334,-1934,-4126,-3457,1472,2766,-701,-2076,-146,-2120,-1396,44,-50,-29,262,96,415,176
32620,"McComb, MS",Micropolitan Statistical Area,53535,53535,53553,53583,53063,52852,52591,52525,52125,18,30,-520,-211,-261,-66,-400,176,742,735,661,704,656,676,94,635,629,611,647,687,682,82,107,106,50,57,-31,-6,1,0,1,6,7,7,7,-59,-74,-641,-266,-307,-67,-377,-58,-74,-640,-260,-300,-60,-370,-6,-3,14,-1,-18,25,-24
32660,"McMinnville, TN",Micropolitan Statistical Area,39839,39824,39851,39869,39745,39893,40003,40338,40516,27,18,-124,148,110,335,178,110,508,441,500,487,462,469,78,525,439,474,476,479,467,32,-17,2,26,11,-17,2,2,20,14,24,32,35,35,-3,25,-140,79,70,308,160,-1,45,-126,103,102,343,195,-4,-10,0,19,-3,9,-19
32700,"McPherson, KS",Micropolitan Statistical Area,29180,29180,29142,29213,29341,29596,29134,28944,28804,-38,71,128,255,-462,-190,-140,76,319,341,366,317,342,332,97,345,364,384,412,365,364,-21,-26,-23,-18,-95,-23,-32,4,18,20,16,19,20,20,-18,67,139,267,-394,-217,-157,-14,85,159,283,-375,-197,-137,-3,12,-8,-10,8,30,29
32740,"Meadville, PA",Micropolitan Statistical Area,88765,88761,88686,88104,87675,87435,87128,86638,86257,-75,-582,-429,-240,-307,-490,-381,266,917,929,979,897,1043,989,283,1021,900,999,938,986,957,-17,-104,29,-20,-41,57,32,4,6,16,21,23,26,25,-58,-492,-477,-165,-225,-542,-381,-54,-486,-461,-144,-202,-516,-356,-4,8,3,-76,-64,-31,-57
32780,"Medford, OR",Metropolitan Statistical Area,203206,203206,203410,204794,206346,207862,210311,213534,216527,204,1384,1552,1516,2449,3223,2993,573,2411,2253,2281,2346,2302,2314,541,2186,2211,2253,2315,2228,2258,32,225,42,28,31,74,56,31,70,11,7,34,38,37,156,1024,1526,1457,2143,3013,2833,187,1094,1537,1464,2177,3051,2870,-15,65,-27,24,241,98,67
32820,"Memphis, TN-MS-AR",Metropolitan Statistical Area,1324829,1324824,1326399,1332162,1339880,1340453,1341563,1341954,1342842,1575,5763,7718,573,1110,391,888,4529,18864,19256,18902,18899,18667,18535,2542,10869,10734,11462,11360,11715,12130,1987,7995,8522,7440,7539,6952,6405,386,1477,1410,1175,1390,1487,1404,-802,-3635,-2103,-8110,-7689,-8013,-6502,-416,-2158,-693,-6935,-6299,-6526,-5098,4,-74,-111,68,-130,-35,-419
32860,"Menomonie, WI",Micropolitan Statistical Area,43857,43857,43883,43882,43939,44221,44325,44552,44704,26,-1,57,282,104,227,152,120,470,433,442,468,458,444,92,297,284,323,327,303,325,28,173,149,119,141,155,119,0,20,36,43,51,51,49,-2,-229,-124,114,-131,4,-22,-2,-209,-88,157,-80,55,27,0,35,-4,6,43,17,6
