destination,st_dest_abbrv,co_dest_name,hshlds,pop
12019,FL,Clay County,25,42
38105,ND,Williams County,23,42
51041,VA,Chesterfield County,23,42
06093,CA,Siskiyou County,21,41
08077,CO,Mesa County,26,41
12061,FL,Indian River County,23,41
13215,GA,Muscogee County,21,41
22055,LA,Lafayette Parish,25,41
29019,MO,Boone County,24,41
37097,NC,Iredell County,21,41
12073,FL,Leon County,24,40
13113,GA,Fayette County,24,40
17019,IL,Champaign County,28,40
30031,MT,Gallatin County,26,40
41011,OR,Coos County,21,40
41043,OR,Linn County,25,40
36109,NY,Tompkins County,29,39
12069,FL,Lake County,27,38
13059,GA,Clarke County,22,38
22017,LA,Caddo Parish,23,38
53015,WA,Cowlitz County,27,38
30111,MT,Yellowstone County,23,37
34029,NJ,Ocean County,20,37
37135,NC,Orange County,21,37
48187,TX,Guadalupe County,20,37
02090,AK,Fairbanks North Star Borough,25,36
18141,IN,St. Joseph County,24,36
21047,KY,Christian County,21,36
06015,CA,Del Norte County,22,35
08097,CO,Pitkin County,20,35
12085,FL,Martin County,23,35
36027,NY,Dutchess County,25,35
41003,OR,Benton County,29,35
55009,WI,Brown County,21,35
08101,CO,Pueblo County,20,34
12001,FL,Alachua County,20,34
20161,KS,Riley County,21,34
25001,MA,Barnstable County,24,34
25005,MA,Bristol County,22,34
26065,MI,Ingham County,25,34
42077,PA,Lehigh County,20,34
42095,PA,Northampton County,20,34
09011,CT,New London County,24,33
42027,PA,Centre County,23,33
46103,SD,Pennington County,21,33
48479,TX,Webb County,23,33
48485,TX,Wichita County,21,33
28047,MS,Harrison County,25,32
08014,CO,Broomfield County,24,31
36111,NY,Ulster County,23,30
12113,FL,Santa Rosa County,20,29
41019,OR,Douglas County,21,29
18105,IN,Monroe County,21,28
27163,MN,Washington County,20,28
06043,CA,Mariposa County,20,27
51760,VA,Richmond city,21,27
