LA Net Migration
inflow_2014_15_outflow_2014_15
+--------+--------+-------------------------------+---------+---------+
| county | stname |             coname            | returns | exempts |
| 48309  |   TX   |        McLennan County        |    -3   |   -19   |
| 06023  |   CA   |        Humboldt County        |   -14   |   -20   |
| 12099  |   FL   |       Palm Beach County       |    35   |   -20   |
| 02020  |   AK   |     Anchorage Municipality    |   -15   |   -21   |
| 48303  |   TX   |         Lubbock County        |   -11   |   -22   |
| 20091  |   KS   |         Johnson County        |    10   |   -24   |
| 18057  |   IN   |        Hamilton County        |    1    |   -25   |
| 37021  |   NC   |        Buncombe County        |   -11   |   -25   |
| 38101  |   ND   |          Ward County          |   -10   |   -25   |
| 48209  |   TX   |          Hays County          |    -9   |   -25   |
| 06109  |   CA   |        Tuolumne County        |    -7   |   -26   |
| 37067  |   NC   |         Forsyth County        |    -9   |   -26   |
| 06043  |   CA   |        Mariposa County        |   -20   |   -27   |
| 15007  |   HI   |          Kauai County         |   -14   |   -27   |
| 48215  |   TX   |         Hidalgo County        |    -3   |   -27   |
| 47149  |   TN   |       Rutherford County       |   -13   |   -28   |
| 12113  |   FL   |       Santa Rosa County       |   -20   |   -29   |
| 36045  |   NY   |        Jefferson County       |   -13   |   -29   |
| 41019  |   OR   |         Douglas County        |   -21   |   -29   |
| 15001  |   HI   |         Hawaii County         |   -21   |   -30   |
| 35049  |   NM   |        Santa Fe County        |   -20   |   -30   |
| 06039  |   CA   |         Madera County         |   -13   |   -31   |
| 08014  |   CO   |       Broomfield County       |   -24   |   -31   |
| 22071  |   LA   |         Orleans Parish        |   -27   |   -33   |
| 46103  |   SD   |       Pennington County       |   -21   |   -33   |
| 48329  |   TX   |         Midland County        |   -19   |   -33   |
| 48479  |   TX   |          Webb County          |   -23   |   -33   |
| 48485  |   TX   |         Wichita County        |   -21   |   -33   |
| 08101  |   CO   |         Pueblo County         |   -20   |   -34   |
| 06015  |   CA   |        Del Norte County       |   -22   |   -35   |
| 06057  |   CA   |         Nevada County         |    -5   |   -35   |
| 08097  |   CO   |         Pitkin County         |   -20   |   -35   |
| 12085  |   FL   |         Martin County         |   -23   |   -35   |
| 16027  |   ID   |         Canyon County         |   -23   |   -35   |
| 41003  |   OR   |         Benton County         |   -29   |   -35   |
| 41033  |   OR   |        Josephine County       |   -21   |   -35   |
| 55009  |   WI   |          Brown County         |   -21   |   -35   |
| 21047  |   KY   |        Christian County       |   -21   |   -36   |
| 30111  |   MT   |       Yellowstone County      |   -23   |   -37   |
| 39049  |   OH   |        Franklin County        |    21   |   -37   |
| 48187  |   TX   |        Guadalupe County       |   -20   |   -37   |
