NYC Out Migration
outflow_2011_12
+-------------+---------------+-------------------------------+---------+---------+
| destination | st_dest_abbrv |          co_dest_name         | returns | exempts |
|    51540    |       VA      |      Charlottesville city     |    43   |    66   |
|    18105    |       IN      |         Monroe County         |    46   |    65   |
|    39017    |       OH      |         Butler County         |    41   |    65   |
|    36077    |       NY      |         Otsego County         |    46   |    64   |
|    44009    |       RI      |       Washington County       |    48   |    63   |
|    47093    |       TN      |          Knox County          |    46   |    63   |
|    39095    |       OH      |          Lucas County         |    37   |    62   |
|    48215    |       TX      |         Hidalgo County        |    46   |    62   |
|    23031    |       ME      |          York County          |    46   |    61   |
|    42027    |       PA      |         Centre County         |    40   |    61   |
|    39113    |       OH      |       Montgomery County       |    38   |    60   |
|    45041    |       SC      |        Florence County        |    30   |    60   |
|    05007    |       AR      |         Benton County         |    39   |    59   |
|    35049    |       NM      |        Santa Fe County        |    42   |    58   |
|    18057    |       IN      |        Hamilton County        |    31   |    57   |
|    13117    |       GA      |         Forsyth County        |    40   |    56   |
|    27109    |       MN      |         Olmsted County        |    32   |    56   |
|    39093    |       OH      |         Lorain County         |    25   |    56   |
|    27037    |       MN      |         Dakota County         |    27   |    55   |
|    33009    |       NH      |         Grafton County        |    43   |    55   |
|    13215    |       GA      |        Muscogee County        |    35   |    54   |
|    06087    |       CA      |       Santa Cruz County       |    39   |    53   |
|    08001    |       CO      |          Adams County         |    35   |    53   |
|    12033    |       FL      |        Escambia County        |    37   |    53   |
|    24021    |       MD      |        Frederick County       |    27   |    51   |
|    45035    |       SC      |       Dorchester County       |    27   |    51   |
|    55133    |       WI      |        Waukesha County        |    28   |    50   |
|    06053    |       CA      |        Monterey County        |    37   |    48   |
|    06095    |       CA      |         Solano County         |    37   |    48   |
|    12119    |       FL      |         Sumter County         |    31   |    48   |
|    44005    |       RI      |         Newport County        |    36   |    48   |
|    45091    |       SC      |          York County          |    22   |    48   |
|    26065    |       MI      |         Ingham County         |    29   |    46   |
|    36057    |       NY      |       Montgomery County       |    23   |    46   |
|    48303    |       TX      |         Lubbock County        |    23   |    46   |
|    37049    |       NC      |         Craven County         |    24   |    45   |
|    46103    |       SD      |       Pennington County       |    37   |    45   |
|    50025    |       VT      |         Windham County        |    31   |    45   |
