NYC In Migration
inflow_2012_13
+--------+---------------+-------------------------------+---------+---------+
| origin | st_orig_abbrv |          co_orig_name         | returns | exempts |
| 36077  |       NY      |         Otsego County         |    38   |    45   |
| 37147  |       NC      |          Pitt County          |    26   |    45   |
| 17197  |       IL      |          Will County          |    32   |    44   |
| 27109  |       MN      |         Olmsted County        |    29   |    43   |
| 06061  |       CA      |         Placer County         |    25   |    42   |
| 39095  |       OH      |          Lucas County         |    31   |    42   |
| 41039  |       OR      |          Lane County          |    39   |    42   |
| 06053  |       CA      |        Monterey County        |    31   |    41   |
| 12061  |       FL      |      Indian River County      |    36   |    41   |
| 19153  |       IA      |          Polk County          |    29   |    41   |
| 12085  |       FL      |         Martin County         |    28   |    40   |
| 13215  |       GA      |        Muscogee County        |    21   |    39   |
| 34011  |       NJ      |       Cumberland County       |    25   |    39   |
| 45063  |       SC      |        Lexington County       |    29   |    39   |
| 10005  |       DE      |         Sussex County         |    29   |    38   |
| 39151  |       OH      |          Stark County         |    28   |    38   |
| 29019  |       MO      |          Boone County         |    33   |    37   |
| 42127  |       PA      |          Wayne County         |    24   |    37   |
| 42129  |       PA      |      Westmoreland County      |    27   |    37   |
| 13217  |       GA      |         Newton County         |    15   |    36   |
| 44005  |       RI      |         Newport County        |    30   |    36   |
| 08035  |       CO      |         Douglas County        |    24   |    35   |
| 57009  |       FR      |     Foreign - Other flows     |    21   |    35   |
| 12015  |       FL      |        Charlotte County       |    23   |    34   |
| 48215  |       TX      |         Hidalgo County        |    27   |    34   |
| 48339  |       TX      |       Montgomery County       |    25   |    34   |
| 27037  |       MN      |         Dakota County         |    25   |    33   |
| 06029  |       CA      |          Kern County          |    22   |    32   |
| 28049  |       MS      |          Hinds County         |    22   |    32   |
| 48167  |       TX      |        Galveston County       |    26   |    32   |
| 33013  |       NH      |        Merrimack County       |    24   |    31   |
| 50023  |       VT      |       Washington County       |    26   |    31   |
| 20045  |       KS      |         Douglas County        |    26   |    30   |
| 50027  |       VT      |         Windsor County        |    26   |    30   |
| 55133  |       WI      |        Waukesha County        |    28   |    30   |
| 31109  |       NE      |        Lancaster County       |    23   |    29   |
| 36113  |       NY      |         Warren County         |    23   |    29   |
| 50025  |       VT      |         Windham County        |    21   |    29   |
| 53063  |       WA      |         Spokane County        |    23   |    29   |
| 25011  |       MA      |        Franklin County        |    22   |    28   |
| 36069  |       NY      |         Ontario County        |    26   |    28   |
| 06079  |       CA      |     San Luis Obispo County    |    24   |    27   |
| 49011  |       UT      |          Davis County         |    18   |    27   |
| 06055  |       CA      |          Napa County          |    20   |    26   |
| 18057  |       IN      |        Hamilton County        |    18   |    26   |
| 23019  |       ME      |        Penobscot County       |    20   |    26   |
| 40027  |       OK      |        Cleveland County       |    16   |    26   |
| 12091  |       FL      |        Okaloosa County        |    14   |    25   |
| 39165  |       OH      |         Warren County         |    21   |    25   |
| 53035  |       WA      |         Kitsap County         |    14   |    25   |
| 06077  |       CA      |       San Joaquin County      |    13   |    24   |
| 12019  |       FL      |          Clay County          |    15   |    24   |
| 45083  |       SC      |       Spartanburg County      |    12   |    24   |
| 06099  |       CA      |       Stanislaus County       |    10   |    23   |
| 18141  |       IN      |       St. Joseph County       |    19   |    23   |
| 50003  |       VT      |       Bennington County       |    13   |    23   |
| 39133  |       OH      |         Portage County        |    22   |    22   |
| 45085  |       SC      |         Sumter County         |    14   |    22   |
| 54039  |       WV      |         Kanawha County        |    12   |    22   |
| 01101  |       AL      |       Montgomery County       |    14   |    21   |
| 12017  |       FL      |         Citrus County         |    10   |    21   |
| 13021  |       GA      |          Bibb County          |    12   |    21   |
| 37049  |       NC      |         Craven County         |    11   |    21   |
| 42019  |       PA      |         Butler County         |    14   |    21   |
| 09015  |       CT      |         Windham County        |    13   |    20   |
| 15009  |       HI      |          Maui County          |    11   |    20   |
| 34009  |       NJ      |        Cape May County        |    14   |    20   |
| 36075  |       NY      |         Oswego County         |    14   |    20   |
| 42049  |       PA      |          Erie County          |    16   |    20   |
| 42107  |       PA      |       Schuylkill County       |    10   |    20   |
| 45035  |       SC      |       Dorchester County       |    12   |    20   |
| 45041  |       SC      |        Florence County        |    12   |    20   |
| 47149  |       TN      |       Rutherford County       |    11   |    20   |
| 22055  |       LA      |        Lafayette Parish       |    15   |    19   |
| 33017  |       NH      |        Strafford County       |    11   |    19   |
| 36031  |       NY      |          Essex County         |    13   |    19   |
| 48041  |       TX      |         Brazos County         |    16   |    19   |
| 12005  |       FL      |           Bay County          |    10   |    18   |
| 30031  |       MT      |        Gallatin County        |    10   |    18   |
| 51680  |       VA      |         Lynchburg city        |    14   |    18   |
| 13113  |       GA      |         Fayette County        |    11   |    17   |
