,cbsa_code,cbsa_name,inflow2011_12,outflow2011_12,net_flow2011_12,inflow2012_13,outflow2012_13,net_flow2012_13,inflow2013_14,outflow2013_14,net_flow2013_14,inflow2014_15,outflow2014_15,net_flow2014_15,tot_inflow,tot_outflow,tot_net_flow
120,26620,"Huntsville, AL",44,43,1,63,51,12,0,0,0,0,0,0,107,94,13
121,26900,"Indianapolis-Carmel-Anderson, IN",296,748,-452,477,634,-157,184,249,-65,116,274,-158,1073,1905,-832
122,26980,"Iowa City, IA",36,77,-41,82,101,-19,26,0,26,0,0,0,144,178,-34
123,27060,"Ithaca, NY",420,317,103,396,331,65,293,222,71,218,159,59,1327,1029,298
124,27140,"Jackson, MS",14,0,14,44,29,15,0,0,0,0,0,0,58,29,29
125,27260,"Jacksonville, FL",1037,1827,-790,934,2214,-1280,577,1813,-1236,388,1120,-732,2936,6974,-4038
126,27340,"Jacksonville, NC",521,472,49,468,456,12,198,199,-1,74,256,-182,1261,1383,-122
127,27460,"Jamestown-Dunkirk-Fredonia, NY",15,16,-1,0,13,-13,0,0,0,0,0,0,15,29,-14
128,27920,"Junction City, KS",0,27,-27,17,0,17,0,0,0,0,0,0,17,27,-10
129,27980,"Kahului-Wailuku-Lahaina, HI",15,14,1,20,48,-28,0,0,0,0,0,0,35,62,-27
130,28020,"Kalamazoo-Portage, MI",23,0,23,14,15,-1,0,0,0,0,0,0,37,15,22
131,28140,"Kansas City, MO-KS",313,492,-179,327,538,-211,188,229,-41,131,112,19,959,1371,-412
132,28300,"Keene, NH",15,18,-3,12,0,12,0,0,0,0,0,0,27,18,9
133,28580,"Key West, FL",54,117,-63,96,81,15,0,0,0,0,87,-87,150,285,-135
134,28660,"Killeen-Temple, TX",224,340,-116,208,437,-229,42,214,-172,0,169,-169,474,1160,-686
135,28740,"Kingston, NY",3129,3439,-310,2848,3401,-553,2568,3243,-675,1920,2658,-738,10465,12741,-2276
136,28940,"Knoxville, TN",72,76,-4,89,156,-67,67,0,67,0,0,0,228,232,-4
137,29180,"Lafayette, LA",18,42,-24,19,37,-18,0,29,-29,0,37,-37,37,145,-108
138,29200,"Lafayette-West Lafayette, IN",42,12,30,16,0,16,0,0,0,0,0,0,58,12,46
139,29460,"Lakeland-Winter Haven, FL",897,1324,-427,636,1293,-657,265,1354,-1089,229,910,-681,2027,4881,-2854
140,29540,"Lancaster, PA",513,948,-435,432,873,-441,185,612,-427,187,351,-164,1317,2784,-1467
141,29620,"Lansing-East Lansing, MI",46,46,0,71,58,13,30,0,30,0,0,0,147,104,43
142,29700,"Laredo, TX",0,0,0,0,12,-12,0,0,0,0,0,0,0,12,-12
143,29820,"Las Vegas-Henderson-Paradise, NV",1412,2113,-701,1565,2213,-648,1048,2061,-1013,635,1758,-1123,4660,8145,-3485
144,29940,"Lawrence, KS",15,13,2,30,0,30,0,0,0,0,0,0,45,13,32
145,30020,"Lawton, OK",0,19,-19,0,28,-28,0,0,0,0,0,0,0,47,-47
146,30140,"Lebanon, PA",86,236,-150,60,237,-177,0,115,-115,0,55,-55,146,643,-497
147,30460,"Lexington-Fayette, KY",67,81,-14,110,123,-13,58,31,27,28,0,28,263,235,28
148,30620,"Lima, OH",10,0,10,0,0,0,0,0,0,0,0,0,10,0,10
149,30700,"Lincoln, NE",23,0,23,29,39,-10,0,0,0,0,0,0,52,39,13
150,30780,"Little Rock-North Little Rock-Conway, AR",71,77,-6,80,46,34,32,0,32,0,0,0,183,123,60
151,30860,"Logan, UT-ID",18,0,18,0,0,0,0,0,0,0,0,0,18,0,18
152,31080,"Los Angeles-Long Beach-Anaheim, CA",8482,10993,-2511,8595,13258,-4663,7946,11918,-3972,6196,9626,-3430,31219,45795,-14576
153,31140,"Louisville/Jefferson County, KY-IN",212,221,-9,226,264,-38,105,148,-43,69,130,-61,612,763,-151
154,31180,"Lubbock, TX",11,46,-35,0,25,-25,0,0,0,0,0,0,11,71,-60
155,31340,"Lynchburg, VA",0,0,0,18,0,18,0,0,0,0,0,0,18,0,18
156,31420,"Macon-Bibb County, GA",25,16,9,21,18,3,0,0,0,0,0,0,46,34,12
157,31540,"Madison, WI",326,229,97,263,237,26,120,148,-28,105,71,34,814,685,129
158,31700,"Manchester-Nashua, NH",230,518,-288,313,540,-227,190,240,-50,166,197,-31,899,1495,-596
159,31740,"Manhattan, KS",0,0,0,0,17,-17,0,0,0,0,0,0,0,17,-17
160,32580,"McAllen-Edinburg-Mission, TX",50,94,-44,34,44,-10,0,0,0,0,0,0,84,138,-54
161,32780,"Medford, OR",0,0,0,0,35,-35,0,0,0,0,0,0,0,35,-35
162,32820,"Memphis, TN-MS-AR",312,396,-84,379,423,-44,164,177,-13,130,75,55,985,1071,-86
163,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",17744,23905,-6161,17515,23388,-5873,12797,22304,-9507,9757,18596,-8839,57813,88193,-30380
164,33340,"Milwaukee-Waukesha-West Allis, WI",346,361,-15,307,410,-103,212,177,35,90,129,-39,955,1077,-122
165,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",1047,1112,-65,1012,997,15,708,802,-94,492,522,-30,3259,3433,-174
166,33540,"Missoula, MT",0,0,0,15,0,15,0,0,0,0,0,0,15,0,15
167,33660,"Mobile, AL",38,44,-6,61,75,-14,0,0,0,0,0,0,99,119,-20
168,33700,"Modesto, CA",13,20,-7,23,18,5,0,0,0,0,0,0,36,38,-2
169,33860,"Montgomery, AL",44,44,0,21,45,-24,0,0,0,0,0,0,65,89,-24
170,34060,"Morgantown, WV",0,0,0,13,0,13,0,0,0,0,0,0,13,0,13
171,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",380,1731,-1351,408,2142,-1734,195,1646,-1451,68,1049,-981,1051,6568,-5517
172,34900,"Napa, CA",22,29,-7,26,47,-21,0,0,0,0,0,0,48,76,-28
173,34940,"Naples-Immokalee-Marco Island, FL",925,1363,-438,576,1479,-903,202,1314,-1112,134,1120,-986,1837,5276,-3439
174,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",409,726,-317,612,841,-229,246,581,-335,216,631,-415,1483,2779,-1296
175,35100,"New Bern, NC",37,76,-39,68,86,-18,0,0,0,0,0,0,105,162,-57
176,35300,"New Haven-Milford, CT",2874,3593,-719,2714,3503,-789,2265,3351,-1086,1878,2711,-833,9731,13158,-3427
177,35380,"New Orleans-Metairie, LA",415,599,-184,441,636,-195,262,518,-256,206,367,-161,1324,2120,-796
178,35840,"North Port-Sarasota-Bradenton, FL",803,2142,-1339,870,2123,-1253,408,1951,-1543,217,1342,-1125,2298,7558,-5260
179,35980,"Norwich-New London, CT",633,654,-21,633,564,69,431,470,-39,319,412,-93,2016,2100,-84
180,36100,"Ocala, FL",388,785,-397,318,787,-469,174,487,-313,0,377,-377,880,2436,-1556
181,36140,"Ocean City, NJ",233,409,-176,228,301,-73,52,80,-28,56,32,24,569,822,-253
182,36260,"Ogden-Clearfield, UT",0,0,0,27,26,1,0,0,0,0,0,0,27,26,1
183,36420,"Oklahoma City, OK",129,249,-120,145,121,24,58,130,-72,36,42,-6,368,542,-174
184,36500,"Olympia-Tumwater, WA",37,34,3,15,0,15,0,0,0,0,0,0,52,34,18
185,36540,"Omaha-Council Bluffs, NE-IA",96,151,-55,105,134,-29,32,73,-41,56,38,18,289,396,-107
186,36580,"Oneonta, NY",137,230,-93,134,181,-47,0,40,-40,0,41,-41,271,492,-221
